Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,11,Reuben Collins,23,Chertsey,36,52,Dumped
UK,11,Harry Baker,25,Birmingham,44,49,Dumped
UK,11,Lola Deluca,22,Surrey,44,49,Dumped
UK,11,Konnor Ewudzi,28,Cornwall,17,44,Dumped
UK,11,"Lauren ""Lolly"" Hart",30,Loughborough,39,44,Dumped
UK,11,Blade Siddiqi,29,Stevenage,28,38,Dumped
UK,11,Emma Milton,30,Manchester,29,38,Dumped
UK,11,Hugo Godfroy,24,Southampton,28,38,Dumped
UK,11,Jess White,25,Stockport,1,38,Dumped
UK,11,Uma Jammeh,23,Islington,3,37,Walked
UK,11,Wil Anderson,23,Whitley Bay,12,37,Dumped
UK,11,Ellie Jackson,22,Cardiff,29,35,Dumped
UK,11,Trey Norman,24,Doncaster,23,35,Dumped
UK,11,Diamanté Laiva,21,Beckenham,29,31,Dumped
UK,11,Jake Spivey,25,Rayleigh,28,31,Dumped
UK,11,Joel Kirby,22,Devon,28,31,Dumped
UK,11,Lionel Awudu,24,Reading,28,31,Dumped
UK,11,Lucy Graybill,26,Gourock,29,31,Dumped
UK,11,Moziah Pinder,29,Brighton,28,31,Dumped
UK,11,Ruby Dale,23,Surrey,29,31,Dumped
UK,11,Harriett Blackmore,24,Brighton,1,26,Dumped
UK,11,Ronnie Vint,27,Greenwich,1,26,Dumped
UK,11,Omar Nyame,25,Croydon,5,21,Dumped
UK,11,Tiffany Leighton,25,Royston,12,21,Dumped
UK,11,Samantha Kenny,26,Liverpool,1,16,Dumped
UK,11,Munveer Jabbal,30,Surbiton,1,10,Dumped
UK,11,Patsy Field,29,Orpington,1,10,Dumped
UK,11,Sam Taylor,23,Chesterfield,1,2,Dumped
UK,12,"Antonia ""Toni"" Laites",24,"Connecticut, U.S.",1,58,Winner
UK,12,"Cacherel ""Cach"" Mercer",24,East London,29,58,Winner
UK,12,Harry Cooksley,30,Guildford,1,58,Runner-up
UK,12,Shakira Khan,22,Burnley,1,58,Runner-up
UK,12,Jamie Rhodes,26,Barking,29,58,Third place
UK,12,Yasmin Pettet,24,London,5,58,Third place
UK,12,"Angelique ""Angel"" Swift",26,Maidstone,38,58,Fourth place
UK,12,Ty Isherwood,23,Barnsley,29,58,Fourth place
UK,12,Dejon Noel-Williams,26,Watford,1,56,Dumped
UK,12,"Megan ""Meg"" Moore",25,Southampton,1,56,Dumped
UK,12,Conor Phillips,25,Limerick,1,53,Dumped
UK,12,Megan Forte Clarke,24,Dublin,1,19,Dumped
UK,12,Megan Forte Clarke,24,Dublin,44,53,Re-dumped
UK,12,Blu Chegini,26,London,1,4,Dumped
UK,12,Blu Chegini,26,London,44,51,Re-dumped
UK,12,Helena Ford,29,London,1,51,Dumped
UK,12,"Bilikis ""Billykiss"" Azeez",28,Dublin,23,43,Dumped
UK,12,Boris Vidović,28,"Ljubljana, Slovenia",29,43,Dumped
UK,12,Emma Munro,30,Norwich,28,43,Dumped
UK,12,Harrison Solomon,22,Derby,9,39,Walked
UK,12,Lauren Wood,26,York,28,38,Dumped
UK,12,Lucy Quinn,21,Liverpool,28,35,Dumped
UK,12,Tommy Bradley,22,Hertfordshire,1,35,Dumped
UK,12,Andrada Pop,27,Balbriggan,28,35,Dumped
UK,12,Ben Holbrough,23,Gloucester,1,35,Dumped
UK,12,Chris Middleton,29,Manchester,29,31,Dumped
UK,12,Emily Moran,24,Aberdare,5,31,Dumped
UK,12,Giorgio Russo,30,Maidstone,15,31,Dumped
UK,12,Martin Enitan,23,South London,29,31,Dumped
UK,12,Rheo Parnell,26,Nuneaton,28,31,Dumped
UK,12,"Yasmin ""Yaz"" Broom",26,Stretford,28,31,Dumped
UK,12,Alima Gagigo,23,Glasgow,1,24,Dumped
UK,12,Ryan Bannister,27,Chesterfield,23,24,Dumped
UK,12,Remell Mullings,24,Essex,3,19,Dumped
UK,12,Caprice Alexandra,26,Romford,15,17,Dumped
UK,12,Poppy Harrison,22,Stoke-on-Trent,15,17,Dumped
UK,12,Shea Mannings,25,Bristol,3,17,Dumped
UK,12,Will Means,25,Terrington St Clement,15,17,Dumped
UK,12,Malisha Jordan,24,Broxbourne,5,9,Dumped
UK,12,Sophie Lee,29,Darwen,1,2,Dumped
US,1,Elizabeth Weber,24,"Birmingham, Michigan",1,30,Winner
US,1,Zac Mirabelli,22,"Chicago, Illinois",1,30,Winner
US,1,Alexandra Stewart,26,"Chestnut Hill, Pennsylvania[12]",1,30,Runner-up
US,1,Dylan Curry,25,"East Meadow, New York[13]",4,30,Runner-up
US,1,"Caroline ""Caro"" Viehweg",21,"Los Angeles, California[a]",1,30,Third place
